year,sex,race,borough,frisked,arrest,force,summons,contraband,weapons,numberOfEach,
2005,0,0,Bronx,0,1,1,0,1,0,1,
2005,0,0,Brooklyn,1,1,0,0,1,1,1,
2005,1,0,Bronx,1,1,1,1,0,0,1,
2005,1,0,Queens,1,0,1,1,0,0,1,
2005,0,0,SI,1,0,0,1,1,0,1,
2005,0,0,SI,1,1,1,0,1,0,1,
2005,0,0,Queens,0,0,0,1,1,0,1,
2005,1,0,Manhattan,1,1,0,0,1,0,1,
2005,1,0,Manhattan,0,0,1,1,0,0,1,
2005,1,0,Queens,1,1,0,0,1,0,1,
2005,0,0,Manhattan,1,1,1,1,0,0,1,
2005,1,0,Brooklyn,0,1,1,0,0,0,1,
2005,1,0,Queens,1,0,0,0,1,0,1,
2005,0,0,Brooklyn,1,0,1,1,1,0,1,
2005,1,0,Queens,0,1,0,0,0,0,1,
2005,0,0,SI,1,1,1,0,0,1,1,
2005,0,0,SI,1,1,1,0,1,1,1,
2005,1,0,Manhattan,0,0,0,1,1,0,1,
2005,1,0,Brooklyn,0,1,0,0,1,1,1,
2005,0,0,Brooklyn,1,0,0,0,1,0,1,
2005,1,0,Bronx,1,0,1,0,0,0,1,
2005,1,0,SI,0,1,1,0,0,0,1,
2005,1,0,Bronx,0,0,1,0,0,0,1,
2005,0,0,Queens,1,1,0,1,1,0,1,
2005,0,0,SI,0,0,1,1,0,0,1,
2005,0,0,Brooklyn,1,1,1,1,1,0,1,
2005,0,0,Bronx,1,0,1,0,0,1,1,
2005,0,0,Brooklyn,0,0,0,0,0,1,1,
2005,0,0,Bronx,0,0,1,1,0,0,1,
2005,1,0,Bronx,0,0,0,1,0,0,1,
2005,1,0,Manhattan,1,1,1,0,1,0,1,
2005,0,0,Manhattan,1,1,1,0,1,0,1,
2005,1,0,Queens,0,0,0,0,0,1,1,
2005,0,0,Manhattan,0,1,0,0,1,0,1,
2005,0,0,Bronx,1,0,1,0,1,0,1,
2005,0,0,Brooklyn,1,1,1,0,0,1,1,
2005,0,0,Brooklyn,0,1,0,1,0,0,1,
2005,1,0,SI,1,1,1,0,0,0,1,
2005,1,0,Manhattan,0,1,1,0,0,0,1,
2005,0,0,Bronx,1,1,0,0,0,0,1,
2005,1,0,Manhattan,0,0,0,0,1,0,1,
2005,0,0,Queens,1,1,1,1,1,0,1,
2005,0,0,SI,0,0,0,0,1,0,1,
2005,0,0,Brooklyn,1,0,0,1,1,1,1,
2005,0,0,SI,1,1,1,1,0,0,1,
2005,0,0,Manhattan,1,0,1,1,0,1,1,
2005,0,0,Bronx,0,1,1,0,0,0,1,
2005,0,0,Brooklyn,1,0,1,0,0,1,1,
2005,1,0,Brooklyn,1,0,0,0,1,0,1,
2005,0,0,Brooklyn,0,1,0,0,1,0,1,
2005,0,0,Queens,0,0,1,1,1,0,1,
2006,0,0,Manhattan,1,0,1,0,1,1,1,
2006,0,0,Manhattan,0,0,0,0,0,1,1,
2006,0,0,Manhattan,1,1,1,0,1,1,1,
2006,0,0,Manhattan,0,0,1,0,1,0,1,
2006,0,0,Manhattan,1,1,1,1,1,0,1,
2006,1,0,Manhattan,1,1,0,0,0,0,1,
2006,0,0,Manhattan,1,1,0,0,1,0,1,
2006,0,0,Manhattan,1,1,0,1,0,0,1,
2006,0,0,Manhattan,0,1,0,1,0,0,1,
2006,0,0,Manhattan,0,0,1,0,0,1,1,
2006,0,0,Manhattan,0,0,0,1,1,0,1,
2006,1,0,Manhattan,1,0,1,1,0,0,1,
2006,0,0,Bronx,0,0,1,1,0,0,1,
2006,1,0,Bronx,0,0,0,1,0,0,1,
2006,0,0,Bronx,1,0,1,1,0,1,1,
2006,1,0,Bronx,1,0,0,0,0,0,1,
2006,0,0,Bronx,1,0,1,1,1,0,1,
2006,0,0,Brooklyn,0,1,0,0,0,0,1,
2006,0,0,Brooklyn,1,0,0,1,1,0,1,
2006,0,0,Brooklyn,0,0,0,0,1,0,1,
2006,1,0,Brooklyn,0,1,0,0,0,0,1,
2006,0,0,Brooklyn,1,0,0,0,1,0,1,
2006,0,0,Brooklyn,0,1,0,1,0,0,1,
2006,0,0,Brooklyn,0,1,0,0,1,0,1,
2006,1,0,Brooklyn,1,1,1,0,0,0,1,
2006,1,0,Brooklyn,0,1,1,0,1,0,1,
2006,0,0,Brooklyn,1,0,1,0,1,0,1,
2006,0,0,Brooklyn,1,1,0,0,1,0,1,
2006,1,0,Brooklyn,1,1,1,0,0,1,1,
2006,0,0,Queens,0,0,0,0,0,1,1,
2006,1,0,Queens,0,0,1,1,0,0,1,
2006,0,0,Queens,1,1,1,1,0,0,1,
2006,1,0,Queens,0,1,0,0,1,0,1,
2006,1,0,Queens,1,0,0,1,0,0,1,
2006,0,0,Queens,1,0,0,0,0,1,1,
2006,1,0,SI,0,0,0,1,0,0,1,
2006,0,0,SI,1,0,0,1,0,0,1,
2006,0,0,SI,1,0,1,1,0,0,1,
2006,0,0,SI,1,1,0,0,0,0,1,
2006,1,0,SI,0,0,1,0,0,0,1,
2006,1,0,SI,1,1,1,0,0,0,1,
2007,0,0,Bronx,0,0,0,0,1,0,1,
2007,0,0,SI,0,0,0,1,1,0,1,
2007,0,0,Bronx,0,0,1,1,0,0,1,
2007,1,0,SI,0,0,1,0,0,0,1,
2007,0,0,Brooklyn,1,0,0,0,0,1,1,
2007,1,0,Manhattan,0,1,1,0,0,0,1,
2007,1,0,Manhattan,0,1,0,0,0,0,1,
2007,0,0,Queens,1,1,1,1,1,0,1,
2007,0,0,Queens,1,1,0,1,0,0,1,
2007,0,0,Queens,1,1,0,1,1,0,1,
2007,0,0,SI,1,1,1,0,0,0,1,
2007,1,0,Queens,0,1,0,0,1,0,1,
2007,0,0,SI,0,0,1,1,0,0,1,
2007,0,0,Queens,1,0,1,0,1,0,1,
2007,0,0,Brooklyn,0,1,1,1,0,0,1,
2007,0,0,Manhattan,1,1,0,0,1,1,1,
2007,0,0,SI,1,1,1,0,1,0,1,
2007,0,0,SI,1,0,1,1,1,0,1,
2007,1,0,Manhattan,1,0,1,1,0,0,1,
2007,0,0,Manhattan,0,0,0,1,1,0,1,
2007,0,0,Brooklyn,0,1,1,0,0,0,1,
2007,0,0,Manhattan,0,1,0,0,1,0,1,
2007,0,0,Manhattan,0,1,0,1,0,0,1,
2007,0,0,Queens,1,0,0,0,0,1,1,
2007,0,0,Brooklyn,1,0,1,0,1,0,1,
2007,0,0,Bronx,1,0,0,1,1,0,1,
2007,1,0,Brooklyn,1,1,1,0,1,0,1,
2007,0,0,Brooklyn,1,1,0,0,0,1,1,
2007,0,0,SI,0,1,1,0,0,0,1,
2007,0,0,Brooklyn,0,0,0,1,1,0,1,
2007,0,0,SI,1,0,0,1,0,0,1,
2007,0,0,Brooklyn,1,0,1,1,1,0,1,
2007,0,0,Brooklyn,0,0,0,0,0,1,1,
2007,0,0,SI,1,0,1,1,0,0,1,
2007,1,0,Manhattan,1,0,0,1,0,0,1,
2007,1,0,Brooklyn,0,0,1,0,0,0,1,
2007,0,0,SI,1,1,0,0,1,0,1,
2007,0,0,Brooklyn,0,1,0,0,1,0,1,
2007,1,0,Queens,1,1,1,0,0,1,1,
2007,0,0,Brooklyn,1,0,0,1,0,1,1,
2007,1,0,Bronx,0,0,1,0,0,0,1,
2007,0,0,Manhattan,1,1,0,1,0,0,1,
2007,0,0,Queens,0,1,1,0,1,0,1,
2007,0,0,Bronx,1,0,0,1,0,1,1,
